Rosalind_8846 Rosalind_3157
Rosalind_9181 Rosalind_7251
Rosalind_5733 Rosalind_7507
Rosalind_5733 Rosalind_4904
Rosalind_1102 Rosalind_6620
Rosalind_8663 Rosalind_5268
Rosalind_8663 Rosalind_5733
Rosalind_2820 Rosalind_6620
Rosalind_2069 Rosalind_6890
Rosalind_2069 Rosalind_3981
Rosalind_2069 Rosalind_0993
Rosalind_9964 Rosalind_1272
Rosalind_9964 Rosalind_5905
Rosalind_9964 Rosalind_1259
Rosalind_5592 Rosalind_8435
Rosalind_3329 Rosalind_9255
Rosalind_1853 Rosalind_4974
Rosalind_1853 Rosalind_2568
Rosalind_3189 Rosalind_9255
Rosalind_8361 Rosalind_8846
Rosalind_8361 Rosalind_4764
Rosalind_9704 Rosalind_0878
Rosalind_2751 Rosalind_1115
Rosalind_5735 Rosalind_6140
Rosalind_5735 Rosalind_1731
Rosalind_5735 Rosalind_2195
Rosalind_5735 Rosalind_6292
